culture	experiment	age	volume
Saccharomyces cerevisiae	1	6	0.37
Saccharomyces cerevisiae	1	16	8.87
Saccharomyces cerevisiae	1	24	10.66
Saccharomyces cerevisiae	1	29	12.50
Saccharomyces cerevisiae	1	40	13.27
Saccharomyces cerevisiae	1	48	12.87
Saccharomyces cerevisiae	1	53	12.70
Saccharomyces cerevisiae	2	7.5	1.63
Saccharomyces cerevisiae	2	15.0	6.20
Saccharomyces cerevisiae	2	24.0	10.97
Saccharomyces cerevisiae	2	31.5	12.60
Saccharomyces cerevisiae	2	33.0	12.90
Saccharomyces cerevisiae	2	44.0	12.77
Saccharomyces cerevisiae	2	51.5	12.90
Mixed population	1	6	0.50
Mixed population	1	16	6.83
Mixed population	1	24	8.66
Mixed population	1	29	9.07
Mixed population	1	48	10.23
Mixed population	1	53	10.50
Mixed population	2	7.5	1.33
Mixed population	2	15.0	4.80
Mixed population	2	24.0	8.57
Mixed population	2	31.5	11.17
Mixed population	2	33.0	10.80
Mixed population	2	44.0	11.47
Mixed population	2	51.5	10.80
Schizosaccharomyces kefir	1	16	1.00
Schizosaccharomyces kefir	1	29	1.70
Schizosaccharomyces kefir	1	48	2.73
Schizosaccharomyces kefir	1	72	4.87
Schizosaccharomyces kefir	1	93	5.67
Schizosaccharomyces kefir	1	117	5.80
Schizosaccharomyces kefir	1	141	5.83
Schizosaccharomyces kefir	2	15.0	1.27
Schizosaccharomyces kefir	2	31.5	2.33
Schizosaccharomyces kefir	2	51.5	4.56
