Timestamp,What is your favorite ice-cream flavor?,What is your favorite kind of pizza?
11/6/2020 10:10,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:11,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:12,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:13,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:14,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 10:14,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:20,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:20,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:20,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:21,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 10:21,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:22,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:22,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:23,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 10:27,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 10:31,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 10:38,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:40,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 10:47,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 10:58,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 11:01,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:02,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:02,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 11:03,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 11:04,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:07,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 11:08,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:13,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:14,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:21,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 11:34,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:44,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 11:55,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 11:57,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 12:02,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:02,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:03,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:05,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:06,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:06,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:06,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:21,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:22,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:44,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 12:49,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:52,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 12:54,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 12:55,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 13:36,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 14:23,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 14:50,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 15:06,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 15:27,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 15:50,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/6/2020 16:45,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/6/2020 17:22,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 18:47,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 19:23,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/6/2020 20:55,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/7/2020 0:23,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/7/2020 1:59,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/7/2020 8:15,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/7/2020 11:13,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/7/2020 13:45,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/7/2020 15:00,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/7/2020 17:52,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/7/2020 19:45,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/7/2020 19:57,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/7/2020 21:33,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 0:15,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/8/2020 0:45,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 4:00,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/8/2020 9:29,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/8/2020 13:41,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 13:43,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/8/2020 13:44,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 14:07,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/8/2020 18:51,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/8/2020 19:09,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 19:55,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 22:26,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 22:38,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/8/2020 23:43,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 10:18,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 10:26,"Chocolate (includes Belgian, dark, white, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 10:34,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 10:54,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 10:56,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/9/2020 10:58,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/9/2020 11:06,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/9/2020 12:03,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/9/2020 12:05,"Chocolate (includes Belgian, dark, white, and the like).","Pepperoni (includes salami, artisanal, and the like)."
11/9/2020 12:06,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Other (includes any other type of pizza, and the unlikely ""I do not like pizza"" response)."
11/9/2020 12:49,"Other (includes any other type of ice cream, and the unlikely ""I do not like ice cream"" response).","Pepperoni (includes salami, artisanal, and the like)."
11/9/2020 17:08,"Chocolate (includes Belgian, dark, white, and the like).","Cheese (includes any number of cheeses, Margherita, and the like)."
11/10/2020 11:32,"Vanilla (includes Mexican, French, vanilla bean, and the like).","Pepperoni (includes salami, artisanal, and the like)."
